uid,pmcid,title,journal,pubdate,authors,doi
8894232,PMC8894232,Obstructive sleep apnea in a case of ehlers-danlos syndrome.,Respir Med Case Rep,2022,Mitri SJ; Sabri AM; Coussa-Koniski MM,10.1016/j.rmcr.2022.101602
8858776,PMC8858776,Ventricular tachycardia ablation in a patient with Ehlers-Danlos syndrome.,HeartRhythm Case Rep,2022 Feb,Calvert P; Chu G; Rao A; Gupta D; Luther V,10.1016/j.hrcr.2021.12.007
8881606,PMC8881606,Spontaneous uterine rupture revealing vascular Ehlers-Danlos syndrome: An uncommon case report.,Int J Surg Case Rep,2022 Mar,Slaoui A; Mahtate M; Lazhar H; Lakhdar A; Baydada A; Kharbach A,10.1016/j.ijscr.2022.106840
8861852,PMC8861852,"The Relationship Between Generalised Joint Hypermobility and Autism Spectrum Disorder in Adults: A Large, Cross-Sectional, Case Control Comparison.",Front Psychiatry,2021,Glans MR; Thelin N; Humble MB; Elwin M; Bejerot S,10.3389/fpsyt.2021.803334
8844402,PMC8844402,"Corneal stromal deposits in connective tissue disease, a case series.",Am J Ophthalmol Case Rep,2022 Mar,Ponsetto MK; Elhusseiny AM; Kwan J; Saeed HN,10.1016/j.ajoc.2022.101264
8835098,PMC8835098,Ehlers-Danlos Syndrome Type Arthrochalasia: A Systematic Review.,Int J Environ Res Public Health,2022 Feb 7,Martín-Martín M; Cortés-Martín J; Tovar-Gálvez MI; Sánchez-García JC; Díaz-Rodríguez L; Rodríguez-Blanque R,10.3390/ijerph19031870
8791763,PMC8791763,Intercostal Artery Aneurysmosis Secondary to Chronic Cocaine Abuse.,Cureus,2022 Jan,Agarwal A; Kukkar V; Vijay K,10.7759/cureus.21487
8787077,PMC8787077,Ehlers-Danlos Syndrome in the Field of Psychiatry: A Review.,Front Psychiatry,2021,Ishiguro H; Yagasaki H; Horiuchi Y,10.3389/fpsyt.2021.803898
8777155,PMC8777155,Twin pregnancy with untyped Ehlers-Danlos syndrome requiring prompt genetic testing: A case report.,Case Rep Womens Health,2022 Jan,Ogawa S; Mariya T; Fujibe Y; Ogawa M; Ikeda K; Mizukami M; Kuno Y; Ishikawa A; Ishioka S; Sakurai A; Saito T,10.1016/j.crwh.2022.e00384
8575340,PMC8575340,Perioperative Management of Ehlers-Danlos Type III Syndrome Associated With Postural Orthostatic Tachycardia in Patients Undergoing General Anesthesia.,Cureus,2021 Nov,Laserna A; Nishtar M; Vidovich C; Borovcanin Z,10.7759/cureus.19311
8546774,PMC8546774,Connecting brain and body: Transdiagnostic relevance of connective tissue variants to neuropsychiatric symptom expression.,World J Psychiatry,2021 Oct 19,Sharp HEC; Critchley HD; Eccles JA,10.5498/wjp.v11.i10.805
8547026,PMC8547026,Gastric perforation leading to the diagnosis of classic Ehlers-Danlos syndrome: a case report.,J Med Case Rep,2021 Oct 26,Alotaibi AE; AlAamer OH; Bawazeer MA; Alzahrani AA,10.1186/s13256-021-03108-6
8405372,PMC8405372,A novel COL1A1 variant in a family with clinical features of hypermobile Ehlers-Danlos syndrome that proved to be a COL1-related overlap disorder.,Clin Case Rep,2021 Sep,Foy M; De Mazancourt P; Métay C; Carlier R; Allamand V; Gartioux C; Gillas F; Miri N; Jobic V; Mekki A; Richard P; Michot C; Benistan K,10.1002/ccr3.4128
8393798,PMC8393798,Segmental Absence of Intestinal Musculature in a Child with Type IV Ehlers-Danlos Syndrome.,Children (Basel),2021 Aug 5,Zeky N; Short C; Keith B; Craver RD; Zagory JA,10.3390/children8080680
8312172,PMC8312172,A review of respiratory manifestations and their management in Ehlers-Danlos syndromes and hypermobility spectrum disorders.,Chron Respir Dis,2021 Jan-Dec,Chohan K; Mittal N; McGillis L; Lopez-Hernandez L; Camacho E; Rachinsky M; Mina DS; Reid WD; Ryan CM; Champagne KA; Orchanian-Cheff A; Clarke H; Rozenberg D,10.1177/14799731211025313
8299862,PMC8299862,A 27-Year-Old Woman With Postpartum Papillary Muscle Rupture.,JACC Case Rep,2020 Nov 18,Hutt E; Santos-Martins C; Aguilera J; Wierup P; Kalahasti V; Tan C,10.1016/j.jaccas.2020.09.023
8220633,PMC8220633,Indications and Outcomes After Ligamentum Teres Reconstruction: A Systematic Review.,Arthrosc Sports Med Rehabil,2021 Jun,Knapik DM; Farivar D; Kunze KN; Gilat R; Nho SJ; Chahla J,10.1016/j.asmr.2021.01.023
8212839,PMC8212839,"A Young Woman with Excessive Fat in Lower Extremities Develops Disordered Eating and Is Subsequently Diagnosed with Anorexia Nervosa, Lipedema, and Hypermobile Ehlers-Danlos Syndrome.",Am J Case Rep,2021 Jun 14,Wright TF; Herbst KL,10.12659/AJCR.930840
8235512,PMC8235512,"Fetal Fractures in an Infant with Maternal Ehlers-Danlos Syndrome, CCDC134 Pathogenic Mutation and a Negative Genetic Test for Osteogenesis Imperfecta.",Children (Basel),2021 Jun 17,Holick MF; Shirvani A; Charoenngam N,10.3390/children8060512
8190580,PMC8190580,Minimizing the hidden dangers of cholecystectomy in vascular Ehlers-Danlos syndrome through a multidisciplinary approach.,Clin Case Rep,2021 Jun,Crane J; Lam S; Kiam JS; Kumar B,10.1002/ccr3.4090
8184110,PMC8184110,Splenic Injury After a Colonoscopy: Threading the Scope Carefully in Heritable Connective Tissue Disorders.,Cureus,2021 Jun 4,Wiggins B; Lamarche C; Gupta R; Deliwala S; Minaudo M,10.7759/cureus.15444
8149255,PMC8149255,Association between Postural Orthostatic Tachycardia Syndrome and Joint Hypermobility.,Case Rep Cardiol,2021,Atuesta-Rodriguez AJ; Medina-Velasquez YF; Motta O; Narvaez-Reyes MI; Rondon-Herrera F,10.1155/2021/8875003
8135155,PMC8135155,Outcomes of vitrectomy for retinal detachment in a patient with Ehlers-Danlos syndrome type IV: a case report.,J Med Case Rep,2021 May 20,Lumi X; Bergant G; Lumi A; Mahnic M,10.1186/s13256-021-02855-w
8121728,PMC8121728,"Atlanto-axial rotary instability (Fielding type 1): characteristic clinical and radiological findings, and treatment outcomes following alignment, fusion, and stabilization.",Neurosurg Rev,2021 Jun,Henderson FC Sr; Rosenbaum R; Narayanan M; Koby M; Tuchman K; Rowe PC; Francomano C,10.1007/s10143-020-01345-9
8110803,PMC8110803,Parental mosaicism in Marfan and Ehlers-Danlos syndromes and related disorders.,Eur J Hum Genet,2021 May,Chesneau B; Plancke A; Rolland G; Chassaing N; Coubes C; Brischoux-Boucher E; Edouard T; Dulac Y; Aubert-Mucca M; Lavabre-Bertrand T; Plaisancié J; Khau Van Kien P,10.1038/s41431-020-00797-3
8080291,PMC8080291,Ehlers-Danlos syndrome presenting as cystic lung disease with recurrent pneumothorax: a case report.,Respirol Case Rep,2021 May,Kim MJ; Choe J; Lee BH; Song JW,10.1002/rcr2.747
7988026,PMC7988026,A case of vascular Ehlers-Danlos syndrome with a ruptured hepatic artery after surgical treatment of peritonitis caused by the perforation of the colon.,Surg Case Rep,2021 Mar 23,Kakinuma D; Yamada T; Kanazawa Y; Matsuno K; Sahara T; Yoshida H,10.1186/s40792-021-01156-0
7939736,PMC7939736,Treatment of Severe Emotionally Unstable Personality Disorder with Comorbid Ehlers-Danlos Syndrome and Functional Neurological Disorder in an Inpatient Setting: A Case for Specialist Units without Restrictive Interventions.,Case Rep Psychiatry,2021,Henry J; Collins E; Griffin A; Zimbron J,10.1155/2021/6664666
7841968,PMC7841968,Endoscopic Microvascular Decompression for Vagoglossopharyngeal Neuralgia.,Cureus,2020 Dec 29,Blue R; Spadola M; McAree M; Kvint S; Lee JYK,10.7759/cureus.12353
7786113,PMC7786113,Ehlers-Danlos Syndrome: Immunologic contrasts and connective tissue comparisons.,J Transl Autoimmun,2021,Islam M; Chang C; Gershwin ME,10.1016/j.jtauto.2020.100077
7764306,PMC7764306,"Pelvic Girdle Pain, Hypermobility Spectrum Disorder and Hypermobility-Type Ehlers-Danlos Syndrome: A Narrative Literature Review.",J Clin Med,2020 Dec 9,Ali A; Andrzejowski P; Kanakaris NK; Giannoudis PV,10.3390/jcm9123992
7724010,PMC7724010,Ehlers-Danlos syndrome type IV: a case report of a rare cause of spontaneous sigmoid perforation and enteroatmospheric fistulae in a child.,Surg Case Rep,2020 Dec 8,Kodikara H; King SK; McLeod E,10.1186/s40792-020-01051-0
7709068,PMC7709068,Formation of a traumatic air cyst and ensuing hemopneumothorax during CT angiography in a patient with Ehlers-Danlos syndrome.,BJR Case Rep,2020 Dec 1,Michell H; Chopra P; Bhave A; Ali N; Parkinson W; Shields J; Scriver G; Morris C,10.1259/bjrcr.20200082
7709055,PMC7709055,Multivessel endovascular therapy for undiagnosed vascular type Ehlers-Danlos syndrome. Successful percutaneous transcatheter coil embolization of hepatic artery pseudoaneurysm with stenting of right renal and iliac arteries in emergency setting.,BJR Case Rep,2020 Dec 1,Moramarco LP; Capodaglio CA; Quaretti P; Cionfoli N; Fiorina I; Disabella E; D'agostino AM; Urtis M; Arbustini E,10.1259/bjrcr.20200025
7606394,PMC7606394,Maintenance Intravenous Immunoglobulin Treatment for Multiple Sclerosis Coexisting with Ehlers-Danlos Syndrome and Muir-Torre Syndrome: A Case Study.,Neurol Ther,2020 Dec,Gupta S; Suri M; Constantinescu CS,10.1007/s40120-020-00209-0
7607204,PMC7607204,Treatment of a middle cerebral artery aneurysm in the setting of Loeys-Dietz syndrome: Case report and review of literature.,Radiol Case Rep,2021 Jan,Liang ES; Mahady K; Coulthard A; Winter C,10.1016/j.radcr.2020.10.012
7559544,PMC7559544,Oral Conditions and Oral Health-Related Quality of Life of People with Ehlers-Danlos Syndromes (EDS): A Questionnaire-Based Cross-Sectional Study.,Medicina (Kaunas),2020 Sep 4,Hanisch M; Blanck-Lubarsch M; Bohner L; Suwelack D; Kleinheinz J; Köppe J,10.3390/medicina56090448
