uid,pmcid,title,journal,pubdate,doi
13058190,PMC13058190,A clinical epidemiological study of musculoskeletal injury occurrence and orthopedic management patterns among individuals with hypermobility spectrum disorders.,SAGE Open Med,2026,10.1177/20503121261437153
13037643,PMC13037643,The Investigation and Management of the Abdominopelvic Vascular Compression Syndromes in Patients with Ehlers-Danlos Syndrome and Hypermobility Spectrum Disorder.,Vasc Health Risk Manag,2026,10.2147/VHRM.S592420
12958675,PMC12958675,Prevalence and management of mental health comorbidities in a German cohort of patients with Ehlers-Danlos syndromes and a generalized hypermobility spectrum disorder.,Orphanet J Rare Dis,2026 Feb 3,10.1186/s13023-026-04242-4
12200703,PMC12200703,Characterizing the content and quality of internet resources on exercise training in Ehlers-Danlos Syndromes and generalized hypermobility spectrum disorder.,PLoS One,2025,10.1371/journal.pone.0325709
11905011,PMC11905011,UK Medical Cannabis Registry: An Analysis of Outcomes of Medical Cannabis Therapy for Hypermobility-Associated Chronic Pain.,ACR Open Rheumatol,2025 Mar,10.1002/acr2.70024
11631715,PMC11631715,"A Multidisciplinary Approach to Hypermobility Spectrum Disorder, Raynaud's Phenomenon, and Biomechanical Soft Tissue Injuries in an Adolescent Boy: A Case Report.",Clin Case Rep,2024 Dec,10.1002/ccr3.9678
10472575,PMC10472575,Psychological interventions for individuals with Ehlers-Danlos syndrome and hypermobility spectrum disorder: a scoping review.,Orphanet J Rare Dis,2023 Aug 31,10.1186/s13023-023-02799-y
9397026,PMC9397026,Rationale and Feasibility of Resistance Training in hEDS/HSD: A Narrative Review.,J Funct Morphol Kinesiol,2022 Aug 20,10.3390/jfmk7030061
7764306,PMC7764306,"Pelvic Girdle Pain, Hypermobility Spectrum Disorder and Hypermobility-Type Ehlers-Danlos Syndrome: A Narrative Literature Review.",J Clin Med,2020 Dec 9,10.3390/jcm9123992
