uid,pmcid,title,journal,pubdate,doi,source_query
11018973,PMC11018973,A novel termination site in a case of Stüve-Wiedemann syndrome: case report and review of literature.,Front Pediatr,2024,10.3389/fped.2024.1341841,dysautonomia
10994395,PMC10994395,Long-term outcomes of hospitalized patients with SARS-CoV-2/COVID-19 with and without neurological involvement: 3-year follow-up assessment.,PLoS Med,2024 Apr,10.1371/journal.pmed.1004263,dysautonomia
10950913,PMC10950913,Case report: Rapid recovery after intrathecal rituximab administration in refractory anti-NMDA receptor encephalitis: report of two cases.,Front Immunol,2024,10.3389/fimmu.2024.1369587,dysautonomia
10938911,PMC10938911,Isolated insular stroke: topography is the answer with respect to outcome and cardiac involvement.,Front Neurol,2024,10.3389/fneur.2024.1332382,dysautonomia
10901262,PMC10901262,Primary autonomic failure: a complex case of orthostatic hypotension in a hypertensive elderly patient.,Eur Heart J Case Rep,2024 Feb,10.1093/ehjcr/ytae073,dysautonomia
10883079,PMC10883079,Dysautonomia following Lyme disease: a key component of post-treatment Lyme disease syndrome?,Front Neurol,2024,10.3389/fneur.2024.1344862,dysautonomia; autonomic_dysfunction
10875021,PMC10875021,Abnormal quantitative sudomotor axon reflex test results in patients with tinnitus as a possible indicator of small fiber neuropathy.,Front Neurol,2024,10.3389/fneur.2024.1297371,dysautonomia
10832396,PMC10832396,Oral manifestation in a pediatric patient with pentasomy x. A case report.,Rev Cient Odontol (Lima),2023 Jan-Mar,10.21142/2523-2754-1101-2023-147,dysautonomia
10710877,PMC10710877,Guillain-Barré Syndrome Presenting as Symmetrical Proximal Muscle Weakness: An Atypical Presentation.,Cureus,2023 Dec,10.7759/cureus.50259,dysautonomia
10689019,PMC10689019,Evaluation of peripheral nerve involvements in patients with familial Mediterranean fever.,Arch Rheumatol,2023 Sep,10.46497/ArchRheumatol.2023.9695,dysautonomia
10658769,PMC10658769,A case of erythromelalgia with gastrointestinal dysautonomia treated with immunoglobulin: A case report.,SAGE Open Med Case Rep,2023,10.1177/2050313X231213137,dysautonomia
10632209,PMC10632209,Sensory neuropathy in amyotrophic lateral sclerosis: a systematic review.,J Neurol,2023 Dec,10.1007/s00415-023-11954-1,dysautonomia
10674626,PMC10674626,Chronic Fatigue and Dysautonomia following COVID-19 Vaccination Is Distinguished from Normal Vaccination Response by Altered Blood Markers.,Vaccines (Basel),2023 Oct 26,10.3390/vaccines11111642,dysautonomia
10545146,PMC10545146,Guillain-Barré Syndrome Complicated by Posterior Reversible Encephalopathy Syndrome and Reversible Cerebral Vasoconstriction Syndrome.,Eur J Case Rep Intern Med,2023,10.12890/2023_003949,dysautonomia
10662276,PMC10662276,Steroids in Headache: A Comprehensive Review of Recent Research.,Ann Neurosci,2023 Oct,10.1177/09727531231173286,dysautonomia
10505932,PMC10505932,"Transcriptome profiling of intact bowel wall reveals that PDE1A and SEMA3D are possible markers with roles in enteric smooth muscle apoptosis, proliferative disorders, and dysautonomia in Crohn's disease.",Front Genet,2023,10.3389/fgene.2023.1194882,dysautonomia
10405875,PMC10405875,"Anti-N-Methyl-D-Aspartate Receptor Encephalitis, A Diagnosis Not To Miss.",Eur J Case Rep Intern Med,2023,10.12890/2023_003974,dysautonomia
10377413,PMC10377413,The Relationship between Paresthesia and the Presence of Cardiac Dysautonomia in Patients with Post-COVID-19 Syndrome: A Preliminary Observational Study.,Brain Sci,2023 Jul 20,10.3390/brainsci13071095,dysautonomia
10359064,PMC10359064,A case of eosinophilic granulomatous polyangiitis with concurrent central and peripheral nervous system involvement.,Oxf Med Case Reports,2023 Jul,10.1093/omcr/omad067,dysautonomia; autonomic_dysfunction
10328630,PMC10328630,Amyotrophic lateral sclerosis with respiratory failure and dysautonomia: a case report.,Ann Med Surg (Lond),2023 Jul,10.1097/MS9.0000000000000889,dysautonomia
10297082,PMC10297082,Treatments of COVID-19-Associated Taste and Saliva Secretory Disorders.,Dent J (Basel),2023 May 25,10.3390/dj11060140,dysautonomia
10289121,PMC10289121,[The role of the cardiopulmonary exercise test and pulmonary rehabilitation in long COVID-19].,Rev Mal Respir,2023 Sep,10.1016/j.rmr.2023.05.003,dysautonomia
10289141,PMC10289141,Ivabradine for inappropriate sinus tachycardia-induced symptomatic Mobitz type I atrio-ventricular block: a case summary.,Eur Heart J Case Rep,2023 Jun,10.1093/ehjcr/ytad192,dysautonomia; autonomic_dysfunction
10193105,PMC10193105,Guillain-Barré syndrome associated with SARS-CoV-2 vaccination: how is it different? a systematic review and individual participant data meta-analysis.,Clin Exp Vaccine Res,2023 Apr,10.7774/cevr.2023.12.2.143,dysautonomia
10129990,PMC10129990,Pathogenesis of acute encephalopathy in acute hepatic porphyria.,J Neurol,2023 May,10.1007/s00415-023-11586-5,dysautonomia
10092280,PMC10092280,Severe distinct dysautonomia in RFC1-related disease associated with Parkinsonism.,J Peripher Nerv Syst,2022 Dec,10.1111/jns.12515,dysautonomia
10073441,PMC10073441,HIDEA syndrome: A new case report highlighting similarities with ROHHAD syndrome.,Front Genet,2023,10.3389/fgene.2023.1137767,dysautonomia; autonomic_dysfunction
10063196,PMC10063196,Thinking beyond otorhinolaryngology in patients presenting with bilateral vocal cord paresis.,J Surg Case Rep,2023 Mar,10.1093/jscr/rjad140,dysautonomia
10001044,PMC10001044,Pathogenesis Underlying Neurological Manifestations of Long COVID Syndrome and Potential Therapeutics.,Cells,2023 Mar 6,10.3390/cells12050816,dysautonomia
9996477,PMC9996477,Consider Alternative Causes of Death to SARS-CoV-2 Vaccination-Related Guillain-Barre Syndrome without Dysautonomia.,Ann Indian Acad Neurol,2022 Nov-Dec,10.4103/aian.aian_585_22,dysautonomia
9925924,PMC9925924,An interval of clinically silent gastrointestinal bleed in dysautonomic spinal cord injury: a case report.,BMC Neurol,2023 Feb 14,10.1186/s12883-023-03114-9,dysautonomia
9912584,PMC9912584,The genetic basis of multiple system atrophy.,J Transl Med,2023 Feb 10,10.1186/s12967-023-03905-1,dysautonomia
9901229,PMC9901229,Beyond Acute COVID-19: A Review of Long-term Cardiovascular Outcomes.,Can J Cardiol,2023 Jun,10.1016/j.cjca.2023.01.031,dysautonomia
9894319,PMC9894319,Morvan's syndrome: An unusual presentation of a solid pseudopapillary pancreatic tumor.,J Neurosci Rural Pract,2022 Oct-Dec,10.25259/JNRP-2022-3-49,dysautonomia
9789535,PMC9789535,Investigating the possible mechanisms of autonomic dysfunction post-COVID-19.,Auton Neurosci,2023 Mar,10.1016/j.autneu.2022.103071,dysautonomia; orthostatic_intolerance; autonomic_dysfunction
9757526,PMC9757526,Herpes Simplex Virus-2 Encephalitis Complicated with Multiple Cranial Neuritis and Dysautonomia.,J Pediatr Neurosci,2021 Oct-Dec,10.4103/jpn.JPN_239_20,dysautonomia; autonomic_dysfunction
9636886,PMC9636886,Experience With Dexmedetomidine Use in the Treatment of Dysautonomic Crisis in Familial Dysautonomia: An Off-Label Use.,Cureus,2022 Oct,10.7759/cureus.29988,dysautonomia
9587697,PMC9587697,A Rarely Occurring Spinal Fracture Precipitated by Generalized Spasms of Tetanus Patient with Spondylitis Tuberculosis.,Int Med Case Rep J,2022,10.2147/IMCRJ.S367615,dysautonomia
9566583,PMC9566583,Neuroleptic Malignant Syndrome: A case report and a literature review.,Eur Psychiatry,2022 Jun,10.1192/j.eurpsy.2022.1506,dysautonomia
9471950,PMC9471950,ROHHAD syndrome without rapid-onset obesity: A diagnosis challenge.,Front Pediatr,2022,10.3389/fped.2022.910099,dysautonomia; autonomic_dysfunction
9267913,PMC9267913,Autonomic Dysfunction during Acute SARS-CoV-2 Infection: A Systematic Review.,J Clin Med,2022 Jul 4,10.3390/jcm11133883,dysautonomia; autonomic_dysfunction
9249797,PMC9249797,Dysautonomia following breast surgery: Disproportionate response to postoperative hematoma.,Surg Open Sci,2022 Oct,10.1016/j.sopen.2022.05.011,dysautonomia
9239654,PMC9239654,Clinical Improvement With Pyridostigmine in a Patient With Acetylcholine Receptor Antibody-Associated Autoimmune Gastrointestinal Dysmotility.,ACG Case Rep J,2022 Jun,10.14309/crj.0000000000000796,dysautonomia
9142938,PMC9142938,Prevention and Treatment of Life-Threatening COVID-19 May Be Possible with Oxygen Treatment.,Life (Basel),2022 May 19,10.3390/life12050754,dysautonomia
